second,Volt
-24.7000E-06,-2.001E+00
-24.6000E-06,-2.001E+00
-24.5000E-06,-2.016E+00
-24.4000E-06,-1.985E+00
-24.3000E-06,-2.016E+00
-24.2000E-06,-2.095E+00
-24.1000E-06,-2.032E+00
-24.0000E-06,-1.970E+00
-23.9000E-06,-2.016E+00
-23.8000E-06,-2.001E+00
-23.7000E-06,-2.001E+00
-23.6000E-06,-2.001E+00
-23.5000E-06,-2.016E+00
-23.4000E-06,-2.001E+00
-23.3000E-06,-2.032E+00
-23.2000E-06,-2.016E+00
-23.1000E-06,-2.016E+00
-23.0000E-06,-2.016E+00
-22.9000E-06,-1.985E+00
-22.8000E-06,-2.016E+00
-22.7000E-06,-2.016E+00
-22.6000E-06,-1.985E+00
-22.5000E-06,-1.985E+00
-22.4000E-06,-1.970E+00
-22.3000E-06,-2.001E+00
-22.2000E-06,-2.001E+00
-22.1000E-06,-2.001E+00
-22.0000E-06,-2.001E+00
-21.9000E-06,-2.001E+00
-21.8000E-06,-1.985E+00
-21.7000E-06,-1.985E+00
-21.6000E-06,-2.001E+00
-21.5000E-06,-1.985E+00
-21.4000E-06,-1.970E+00
-21.3000E-06,-2.001E+00
-21.2000E-06,-1.970E+00
-21.1000E-06,-2.001E+00
-21.0000E-06,-1.985E+00
-20.9000E-06,-1.970E+00
-20.8000E-06,-1.985E+00
-20.7000E-06,-1.970E+00
-20.6000E-06,-2.001E+00
-20.5000E-06,-1.985E+00
-20.4000E-06,-2.001E+00
-20.3000E-06,-1.985E+00
-20.2000E-06,-2.001E+00
-20.1000E-06,-2.016E+00
-20.0000E-06,-2.079E+00
-19.9000E-06,-2.001E+00
-19.8000E-06,-2.001E+00
-19.7000E-06,-2.001E+00
-19.6000E-06,-2.032E+00
-19.5000E-06,-1.985E+00
-19.4000E-06,-2.032E+00
-19.3000E-06,-2.001E+00
-19.2000E-06,-1.985E+00
-19.1000E-06,-2.001E+00
-19.0000E-06,-2.001E+00
-18.9000E-06,-2.001E+00
-18.8000E-06,-1.985E+00
-18.7000E-06,-1.985E+00
-18.6000E-06,-2.001E+00
-18.5000E-06,-1.985E+00
-18.4000E-06,-2.016E+00
-18.3000E-06,-2.001E+00
-18.2000E-06,-2.001E+00
-18.1000E-06,-2.032E+00
-18.0000E-06,-2.001E+00
-17.9000E-06,-2.001E+00
-17.8000E-06,-2.001E+00
-17.7000E-06,-2.032E+00
-17.6000E-06,-2.001E+00
-17.5000E-06,-2.001E+00
-17.4000E-06,-2.063E+00
-17.3000E-06,-2.001E+00
-17.2000E-06,-1.954E+00
-17.1000E-06,-2.001E+00
-17.0000E-06,-1.923E+00
-16.9000E-06,-2.001E+00
-16.8000E-06,-2.001E+00
-16.7000E-06,-2.048E+00
-16.6000E-06,-2.016E+00
-16.5000E-06,-1.985E+00
-16.4000E-06,-1.954E+00
-16.3000E-06,-1.985E+00
-16.2000E-06,-2.001E+00
-16.1000E-06,-1.985E+00
-16.0000E-06,-1.985E+00
-15.9000E-06,-2.016E+00
-15.8000E-06,-1.970E+00
-15.7000E-06,-1.985E+00
-15.6000E-06,-1.985E+00
-15.5000E-06,-2.016E+00
-15.4000E-06,-2.001E+00
-15.3000E-06,-1.985E+00
-15.2000E-06,-2.001E+00
-15.1000E-06,-2.016E+00
-15.0000E-06,-1.985E+00
-14.9000E-06,-2.001E+00
-14.8000E-06,-1.985E+00
-14.7000E-06,-2.001E+00
-14.6000E-06,-2.016E+00
-14.5000E-06,-2.016E+00
-14.4000E-06,-2.001E+00
-14.3000E-06,-1.985E+00
-14.2000E-06,-1.985E+00
-14.1000E-06,-2.016E+00
-14.0000E-06,-2.001E+00
-13.9000E-06,-2.001E+00
-13.8000E-06,-1.985E+00
-13.7000E-06,-2.032E+00
-13.6000E-06,-2.001E+00
-13.5000E-06,-2.001E+00
-13.4000E-06,-1.985E+00
-13.3000E-06,-1.970E+00
-13.2000E-06,-1.970E+00
-13.1000E-06,-1.985E+00
-13.0000E-06,-1.954E+00
-12.9000E-06,-1.985E+00
-12.8000E-06,-2.016E+00
-12.7000E-06,-1.954E+00
-12.6000E-06,-1.985E+00
-12.5000E-06,-1.970E+00
-12.4000E-06,-2.016E+00
-12.3000E-06,-2.016E+00
-12.2000E-06,-1.985E+00
-12.1000E-06,-2.001E+00
-12.0000E-06,-2.016E+00
-11.9000E-06,-1.985E+00
-11.8000E-06,-2.001E+00
-11.7000E-06,-2.001E+00
-11.6000E-06,-1.985E+00
-11.5000E-06,-2.001E+00
-11.4000E-06,-1.970E+00
-11.3000E-06,-1.970E+00
-11.2000E-06,-2.001E+00
-11.1000E-06,-2.048E+00
-11.0000E-06,-2.016E+00
-10.9000E-06,-2.001E+00
-10.8000E-06,-2.001E+00
-10.7000E-06,-1.985E+00
-10.6000E-06,-2.001E+00
-10.5000E-06,-2.001E+00
-10.4000E-06,-1.938E+00
-10.3000E-06,-1.985E+00
-10.2000E-06,-2.001E+00
-10.1000E-06,-1.985E+00
-10.000E-06,-2.032E+00
-9.9000E-06,-1.985E+00
-9.8000E-06,-2.016E+00
-9.7000E-06,-2.016E+00
-9.6000E-06,-2.016E+00
-9.5000E-06,-2.032E+00
-9.4000E-06,-2.001E+00
-9.3000E-06,-1.970E+00
-9.2000E-06,-1.985E+00
-9.1000E-06,-2.001E+00
-9.0000E-06,-2.001E+00
-8.9000E-06,-1.970E+00
-8.8000E-06,-2.001E+00
-8.7000E-06,-2.048E+00
-8.6000E-06,-2.016E+00
-8.5000E-06,-2.016E+00
-8.4000E-06,-2.032E+00
-8.3000E-06,-2.001E+00
-8.2000E-06,-2.001E+00
-8.1000E-06,-2.001E+00
-8.0000E-06,-2.001E+00
-7.9000E-06,-2.001E+00
-7.8000E-06,-2.032E+00
-7.7000E-06,-2.016E+00
-7.6000E-06,-2.001E+00
-7.5000E-06,-2.798E+00
-7.4000E-06,-2.016E+00
-7.3000E-06,-2.001E+00
-7.2000E-06,-1.970E+00
-7.1000E-06,-1.985E+00
-7.0000E-06,-1.985E+00
-6.9000E-06,-1.970E+00
-6.8000E-06,-1.985E+00
-6.7000E-06,-1.970E+00
-6.6000E-06,-1.970E+00
-6.5000E-06,-2.016E+00
-6.4000E-06,-2.048E+00
-6.3000E-06,-2.126E+00
-6.2000E-06,-1.954E+00
-6.1000E-06,-1.985E+00
-6.0000E-06,-1.970E+00
-5.9000E-06,-1.970E+00
-5.8000E-06,-1.970E+00
-5.7000E-06,-1.954E+00
